,Country,Index_Hapiness,Suicide_Rates
0,Afghanistan,3.632,5.9
1,Albania,4.586,3.9
2,Algeria,5.295,2.6
3,Angola,3.795,12.4
4,Argentina,6.388,9.0
5,Armenia,4.321,1.7
6,Australia,7.272,11.3
7,Austria,7.139,11.2
8,Azerbaijan,5.201,3.9
9,Bahrain,6.105,7.0
10,Bangladesh,4.5,3.8
11,Belarus,5.483,17.9
12,Belgium,6.927,14.3
13,Belize,5.956,7.2
14,Benin,4.141,13.0
15,Bhutan,5.082,5.1
16,Bolivia,5.752,7.0
17,Bosnia and Herzegovina,5.129,8.2
18,Botswana,3.59,22.1
19,Brazil,6.419,6.5
20,Bulgaria,4.933,6.6
21,Burkina Faso,4.424,14.7
22,Burundi,2.905,12.3
23,Cambodia,4.433,5.6
24,Cameroon,4.975,15.9
25,Canada,7.328,10.5
26,Central African Republic,3.083,23.6
27,Chad,4.301,13.6
28,Chile,6.476,8.0
29,China,5.246,6.8
30,Colombia,6.26,3.9
31,Costa Rica,7.072,6.8
32,Croatia,5.321,11.1
33,Cyprus,5.762,3.6
34,Czech Republic,6.711,10.8
35,Denmark,7.555,8.2
36,Dominican Republic,5.302,5.5
37,Ecuador,5.973,8.1
38,Egypt,4.419,3.4
39,El Salvador,6.167,6.1
40,Estonia,5.739,11.6
41,Ethiopia,4.35,9.5
42,Finland,7.632,14.4
43,France,6.489,10.0
44,Gabon,4.758,13.6
45,Georgia,4.34,7.9
46,Germany,6.965,8.5
47,Ghana,4.657,10.8
48,Greece,5.358,3.7
49,Guatemala,6.382,6.3
50,Guinea,3.964,12.2
51,Guinea,3.964,12.9
52,Haiti,3.582,11.4
53,Honduras,5.504,2.6
54,Hungary,5.62,12.6
55,Iceland,7.495,10.1
56,India,4.19,12.9
57,Indonesia,5.093,2.6
58,Iran,4.707,5.5
59,Iraq,4.456,4.9
60,Ireland,6.977,9.2
61,Israel,6.814,5.3
62,Italy,6.0,4.4
63,Ivory Coast,4.671,15.9
64,Jamaica,5.89,2.2
65,Japan,5.915,13.4
66,Jordan,5.161,1.9
67,Kazakhstan,5.79,19.4
68,Kenya,4.41,11.0
69,Kuwait,6.083,2.6
70,Kyrgyzstan,5.131,8.9
71,Laos,4.623,6.2
72,Latvia,5.933,14.3
73,Lebanon,5.358,2.5
75,Liberia,3.495,7.4
76,Libya,5.566,5.7
77,Lithuania,5.952,21.1
78,Luxembourg,6.91,8.0
79,Madagascar,3.774,9.2
80,Malawi,3.587,11.0
81,Malaysia,6.322,5.6
82,Mali,4.447,8.0
83,Malta,6.627,5.3
84,Mauritania,4.356,5.4
85,Mauritius,5.891,8.2
86,Mexico,6.488,5.4
87,Moldova,5.64,11.9
88,Mongolia,5.125,18.7
89,Montenegro,5.347,16.4
90,Morocco,5.254,7.3
91,Mozambique,4.417,23.2
92,Myanmar,4.308,3.0
93,Namibia,4.441,13.7
94,Nepal,4.88,9.7
95,Netherlands,7.441,9.1
96,New Zealand,7.324,10.7
97,Nicaragua,6.141,5.0
98,Niger,4.166,10.1
99,Nigeria,5.155,7.0
100,Norway,7.594,10.1
101,Pakistan,5.472,9.8
102,Panama,6.43,2.9
103,Paraguay,5.681,6.1
104,Peru,5.663,2.7
105,Philippines,5.524,2.6
106,Poland,6.123,10.4
107,Portugal,5.41,7.5
108,Qatar,6.374,4.6
109,Romania,5.945,7.7
110,Russia,5.81,23.4
111,Rwanda,3.408,9.5
112,Saudi Arabia,6.371,5.6
113,Senegal,4.631,11.2
114,Serbia,5.398,7.9
115,Sierra Leone,4.571,11.2
116,Singapore,6.343,7.8
117,Slovakia,6.173,9.4
118,Slovenia,5.948,12.8
119,Somalia,4.982,14.8
120,South Africa,4.724,24.4
121,South Korea,5.875,21.3
122,South Sudan,3.254,6.7
123,Spain,6.31,5.4
124,Sri Lanka,4.471,13.2
125,Sudan,4.139,4.8
126,Sweden,7.314,12.7
127,Switzerland,7.487,9.9
128,Syria,3.462,2.1
129,Tajikistan,5.199,5.3
130,Tanzania,3.303,8.0
131,Thailand,6.072,7.9
132,Togo,3.999,14.9
133,Tunisia,4.592,3.1
134,Turkey,5.483,2.3
135,Turkmenistan,5.636,6.1
136,Uganda,4.161,10.3
137,Ukraine,4.103,18.0
138,United Arab Emirates,6.774,5.0
139,United Kingdom,7.19,7.1
140,United States,6.886,14.1
141,Uruguay,6.379,18.8
142,Uzbekistan,6.096,8.7
143,Venezuela,4.806,2.2
144,Vietnam,5.103,7.4
145,Yemen,3.355,7.1
146,Zambia,4.377,15.9
147,Zimbabwe,3.692,23.9
